Test,Ref,Unit
NEAR VISION LEFT EYE WITH GLASSES NEAR VISION,,
NEAR VISION LEFT EYE WITHOUT GLASSES,,
NEAR VISION RIGHT EYE WITH GLASSES,,
NEAR VISION RIGHT EYE WITH GLASSES NEAR VISION,,
NEAR VISION RIGHT EYE WITHOUT GLASSES,,
NECK,,
NECK LYMPHATICS / SALIVARY GLANDS,,
NECK LYMPHATICS SALIVARY GLANDS,,
NEEUTROPHILS,40-80,%
Neonales ipremature24,,
Nerutrophils,40-75,%
Neurtrophils,40-75,%
Neurtrophils,40-75,
Neurtrophis,40-75,
NEUTRCPHILS,40-80,%
Neutrophil,,
NEUTROPHIL,40-70,%
Neutrophil,45-75,%
NEUTROPHIL,40-80,
Neutrophil,,%
Neutrophil,40-80;,%
Neutrophil,40-75,%
Neutrophil,40-80,%
NEUTROPHIL,40-70 %,%
Neutrophil,50-70,%
Neutrophil,;,%
NEUTROPHIL,54-75;,
NEUTROPHIL,54-75,
Neutrophil,35-68,%
Neutrophil,45-175,%
Neutrophil,(40-75),%
Neutrophil,50%-70%,%
Neutrophil,50,%
Neutrophilis,40-65,%
Neutrophills,40-75,%
Neutrophils,45-74,%
NEUTROPHILS,40-80,%
NEUTROPHILS,2000-7000,Cells/cu.mm
Neutrophils,40-75,%
NEUTROPHILS,2000-7000;,cells/cu.mm
NEUTROPHILS,2000-7000,Celis/cu.mm
Neutrophils,40-70 %,%
NEUTROPHILS,Low 40-80,%
NEUTROPHILS,2000-7000,Cell/cu.mm
NEUTROPHILS,27-60,%
Neutrophils,45-75,%
NEUTROPHILS,2000-7000,Cells/cumm
Neutrophils,,%
NEUTROPHILS,Adults:40-74,%
NEUTROPHITS,40-80,%
NEUTROPHITS,2000-7000,Cell/cu.mm
NEUTROPHITS,2000-7000,Cells/cu.mm
NEUTROPHlLS,2000-7000,Cells/cu.mm
NEUTROPHLS,40-80,%
NIREITE,NEGATIVE,
NIRITE,NEGATIVE,
NITRATE,NEGATIVE,
Nitrates,,
NITRATL,ABSENT,
NITRITE,NOT DETECTED,
Nitrite,,
Nitrite,Absent,
NITRITE,NEGATIVE,
NITRITE,NO DETECTED,
NITRITE,,NIL
NITRITE,NIL,
NITRITE,NlL,
NITRITE,NEGAIIVE,
NITRITE,NGATIVE,
NITRITE,,NOT DETECTED
Nitrites,,
Nitrites,Absent,
No immature cells seen.,,
NON - HDL CHOLESTEROL,0-130,mg/dL
Non Diabetic 3.5-5.6,,%
Non HDL Cholesterol,Desirable : 0-130,mg/dL
Non HDL Cholesterol,Optimal: 0-130;,mg/dL
NON HDL CHOLESTEROL,Desirable: Less than 130;,mg/dL
Non Hdl Cholesterol,0-140,
NON HDL CHOLESTEROL,0-130,mg/dL
Non HDL Cholesterol,Desirable:0-130;,mg/dL
Non HDL Cholesterol,,mgs/dl0-130mgs/dl TC/HDL
"NON HDL CHOLESTEROL, ",Desirable: 0-130 ;,mg/dL
"NON HDL CHOLESTEROL, Serum",Desirable: 0-130 ;,
"NON HDL CHOLESTEROL, SERUM",Desirable: 0-130 ;,mg/dL
"NON HDL CHOLESTEROL, Serum",Desirable :0-130;,mg/dL
Non HOL Cholesterol,Desirable : 0-130,mg/dL
NON-HDL CHOLESTEROL,0-130,mg/dL
NON-HDL CHOLESTEROL,0-130;,mg/dL
NON.HDL CHOLESTEROI,0-130,mg/dL
NON.HDL CHOLESTEROL,0-130,mg/dL
Normal0-150.0 GPO-TOPS Borderline 150.0-199.0 High 200.0-499.0,,
Normoblasts,,
NOSE,,
Nose Block,,
NOSE oo,,
NUTROPHILS,40-80,%
Observation,,
OCC. BLOGCD,NEGATIVE,
OCC. BLOOD,NEGATIVE,
Occult Bicod,,
Occult Blood,,
OCCULT BLOOD,NEGATIVE,
OCCULT BLOOD,Absent,
Occult Blood (OBT),,
Occult Test,,
OCCUPATIONAL HISTORY,,
Odour,,
Odour Faecal Erythrocytes,,
ORGANISM,,
Other,Nil,
Other Finding,,
Other Findings,,
Others,,
Others,Nil,
OTHERS,NIL,NIL
OTHERS,NlL,
OTHERS,,NiL
OTHERS,ABSENT,
OVA,ABSENT,
Ova/Larvae,,
P C V,35-52,%
P C V / HAEMATOCRIT,35-45,%
P. Glucose-Random,70-140,mg/dL
P.C.V,40-50,%
P.C.V,40.0-50.0,%
P.C.V,M-42-52;,%
P.C.V,M -42-52;,%
P.C.V,M - 42-52 ;,%
P.C.V,M-42-52;,
P.C.V,M - 42-52;,%
P.C.V,M-42-52%;,%
P.C.V,M-42 52;,%
P.C.V,M--42-52;,%
P.C.V,M-42-52 ;,%
P.C.V,39.8-52.2,%
P.C.V,M- 42-52;,%
P.C.V,Male (E.V.42-52 %);,%
P.C.V,Male(E.V.42-52);,%
P.C.V,[40.0-50.0],%
P.C.V,[40-50],%
P.C.V,42-52,%
P.C.V,M-42-52,%
P.C.V / HAEMATOCRIT,35-45,%
P.C.V.,40-50,%
P.C.V.,Male (E.V.42-52);,%
P.C.V.,40.0-50.0,%
P.C.V.,"Male, (EV.42-52);",%
P.CV,M - 42-52 ;,%
P.CV,M-42-52%;,%
P.CV,M - 42-52;,%
P.CV,M-42-52;,
P.CV,[40.0-50.0],%
P.Glucose-Random,70-140,mg/dL
P.Glucose Fasting,70-110,mg/dL
P.Glucose-Post Prandial,70-140,mg/dL
P.Glucose-Random,70-140,mg/dL
Packed Cell,36.0-54.0,%
Packed Cell Volume,40-54,%
Packed Cell Volume,36.0-54.0,%
Packed cell Volume,35-54,%
PACKED CELL VOLUME,(40-54 ),%
PACKED CELL VOLUME,Adults: Male 35-50;,%
Packed Cell Volume,39-54,%
PACKED CELL VOLUME- PCV,34-48,%
Packed Cell Volume[PCV],40-50,%
Palpitation,,
PARASITE,ABSENT,
Parasite,,
Parasites,,
Parasites,Absent,
Parasites MP,,
PCT,1.08-2.82,mL/L
PCT,,%
PCV,36-46,%
PCV,40-50,%
PCV,40-50;,%
PCV,30-48,%
PCV,36-47,%
PCV,36-46;,%
PCV,40 50;,%
PCV,36.0-46.0,%
PCV,40-54,%
PCV,M-42-52;,%
PCV,38-57,%
PCV,36-45;,%
PCV,M-42-52%;,%
PCV,40-52,"%,"
PCV,38-57,(L) %
PCV,40.0-50.0,%
PCV,40-45,%
PCV,40,
PCV,40-54,Vol % %
PCV,36-52,o
PCV,36-52,%
PCV,90 40 50,%
PCV,40-50,pe Millionfcumm
PCV (HAEMATOCRIT),"Male 48,0-52.0 ;",%
PCV (Packed Cell Volume),42-52,%
PCV / Haematocrit,,%
PCV / Haematocrit,40-50;,%
PCV / Haematocrit,40-50,%
PCV /Haematocrit,,%
PCV Haematocrit,,%
PCV/Haematocrit,35-55,%
PCV/Haematocrit,40-50,%
PCV/Haematocrit,35-55;,%
PCV/Haematocrit,,%
PCV/Haematocrit,;,%
PCV/Haematrocrit,40-50,%
PCV/Haematrocrit,36-46,%
PCV/HCT,40-50,vol%
PCV/HCT,40-54,%
PCV/HCT,40-50,%
PCV/Hematocrit (HCT),35.0-50.0,%
PCV>642.3,40-54,%
PCW.-40,,%
PCY,,%
PDW,11-18,%
PDW,9.0-17.0,
PERCARDIUM,,
Pericardial effusion,,
PERICARDIUM,,
Peripheral Blood Smear ( PBF),,
PERIPHERAL BLOOD SMEAR RBC MORPHOLOGY,Normachromie,Normocytle
PERIPHERAL SMEAR,,
pH,,
PH,1.003-1.035,
PH,4.7-7.5,
pH,5-7.5,
pH,5-7-5,
PH,4.6-8.0,
pH,5-85,
pH,5.5-7.5,
PH,4.6-7.0,N.A
PH,4.7-7.5;,
pH,,5-85
PH,4.6-7.0,
pH,5-8.2,
PH,46-7.0,N.A
pH,5 7.5,
PH,46-7.0,(H) NA
PH,,N.A
pH,5.7.5,
PH,5.5,
pH,5-7.0,
PH,4.6-80,
pH,4.6-8,
pH,5.7-7.5,
pH,1.005-1.030,
PH,4.67.0,N.A
pH,,Acidic
PH,,4.7-7.5
pH,Sp.Gr q.i 1.005-1.030,
pH,1.005-1.030,Sp.Gr>q.i
pH,Sp.Gr Ql 1.005-1.030,
pH,1.005-1.030,Sp.Gr>qi
pH,1.005-1.030,Sp.Gr>q.l
pH Acidic,,
pH Indicator Glucose,,
PHEHILIAL CELLS,,
PHOSPHATE,,
Phosphorous,2.6-4.7,mmol/L
PHYSICAL ATTITUDE,,
PHYSICAL EXAMINATION,,
"physiologically Low oxygen content fe.g, vencus blood high altitudes>3000 mts gives fafsely increased values Blood Glucose PP",ma/dl Diabetes:>200 itethod 600-POD Prediabetes 140-199,
PIatelet Count,150000-400000,/cmm
Piatelets,,
Piatelets Count,1.5-4.5,Lakhs/c.mm
Piles,,
Pilse,,/min
PILSE,,
PL Blood Sugar,80.0-120.0,mg/dL
PLAIN RADIOGRAPH CHEST ( PA VIEW),,
PLAIN RADIOGRAPH OF CHEST (PA VIEW),,
PLAIN RADIOGRAPH OF CHEST(PA VIEW),,
Plasma Glucase - Postprandial,0-140,mg/dL
Plasma Glucose (F),Normal: 70-100;,mg/dL
Plasma Glucose (F),E.V.-70-110,mg/dL
Plasma Glucose (F),EV.-70-110,mg/dL
Plasma Glucose (P.P.),E.V.-0 - 140,mg/dL
Plasma Glucose (P.P.),E.V.-up 10140,mg/dL
Plasma Glucose (PP),70-140,mg/dL
Plasma Glucose (R),E.V.- up 0140,mg/dL
Plasma Glucose (R),E.V.-0 - 140,mg/dL
Plasma Glucose (R).,E.V.-0 - 140,mg/dL
Plasma Glucose - F,70-110,mg/dL
Plasma Glucose - Fasting,0-100,mg/dL
Plasma Glucose - Fasting,0-100 mg/dL,mg/dL
Plasma Glucose - Postprandial,0-140 mg/dL,mg/dL
Plasma Glucose - Postprandial,0-140,mg/dL
Plasma Glucose - Random,Non diabetic: 0-140;,mg/dL
Plasma Glucose - Random,Non dilabetic:0-140;,mg/dL
Plasma Glucose - Random,Non diabetic:0-140 Prediabetes: 140-200 Diabetes: =>200,mg/dL
Plasma Glucose - Random,"Non diabetic:,140;",mg/dL
PLASMA GLUCOSE FASTING,70-110,mg/dL
Plasma Glucose fasting,0-100,mg/dL
PLASMA GLUCOSE FASTING RESULTS,65-110,MG%
Plasma Glucose P.P 118mg/dL E.V up,,mg/dL
PLASMA GLUCOSE POST PRANDIAL,70-140,mg/dL
Plasma Glucose Postprandial,0-140,mg/dL
Plasma Glucose(p.p.),0-140,mg/dL
Plasma Glucose-Fasting,0-100,mg/dL
Plasma Glugose - Fasting,0-100,mg/dL
Plasma Impaired Glucose Tolerance,140-199,mg/dL Diabetic>200 mg/dL
Plastna Glucuse - Random,Non diabetic: 0-140;,mg/dL
Platelate,,
PLATELET,,
Platelet Count,1.5,Lakhs/c.mm
Platelet Count,1.3-4.0,lakhs/mm3
Platelet Count,,4.24
PLATELET COUNT,150-410,thou/µL
PLATELET COUNT,1.5-4,Lakhs/c.mm
Platelet Count,150000-400000,/cmm
PLATELET COUNT,150000-410000,Cells/cu.mm
Platelet Count,1.50-4.50,Lakhs/Cumm
PLATELET COUNT,1.5-4.5 lakhs / cumm,
PLATELET COUNT,1.5-4.5,Lakhcu.mm.
Platelet Count,,Lakhs/c.mm
PLATELET COUNT,1.5-4.1,lakh/cumm.
PLATELET COUNT,150000 410000;,cells/cu.mm
PLATELET COUNT,150000-410000,cells/cumm
Platelet Count,140000-450000,/cu.m.m
Platelet count,150-410,Thousand/ul
PLATELET COUNT,150000-410000,Celis/cu.mm
Platelet Count,,Lakhs c.mm
PLATELET COUNT,1.5-4.5,Lakh\\cu.mm
Platelet Count,;,Lakhs/c.mm
Platelet Count,140000-450000,/cu.m.m.
Platelet count,150-450,10^3 / µl
Platelet Count,150000-400000,/ cmm
Platelet count,1.5-4.5,lac/cumm
PLATELET COUNT,150000-410000;,cells/cu.mm
PLATELET COUNT,1.5-4.5,lakhs/cu.mm
Platelet Count,1.3-4.0,milions/mm3
Platelet Count,150-450,x 10^3/uL
Platelet Count,1.3-4.0 1,lakhs/mms / ks
PLATELET COUNT,1.5-4,Lakshs/c.mm
PLATELET COUNT,150-410 THOUSAND,THOUSAND/UL
PLATELET COUNT,1.5-4 Lakhs/c.mm,Lakhs/c.mm
Platelet Count,1.5-4.5,Lakhs/c.mm
PLATELET COUNT,1.5-4.5,lakhs/cumm
Platelet count,150-450,10^3/µl
PLATELET COUNT,1.5-4,Lac/cumm
Platelet Count,1.5-4.5,Lakhs/cmm
Platelet count,150-450,10^3 /7µl
Platelet Count,150-450,10^3 / c.mm
Platelet Count,1.3-4.0 1,lakhs/mm3
PLATELET COUNT,150000-450000,cells/ μl
PLATELET COUNT,1.5-4.5,laks/cu.mm
PLATELET COUNT,1.5-4.5,lacks/cu.mm
Platelet count,1.5-3.5,Lakhs/cumm
PLATELET COUNT,1.5-4.5,lackhs/cu.mm
PLATELET COUNT,1.5-4.5,laksh/cu.mm
Platelet Count,150-450,10^3/c.mm
PLATELET COUNT,1.5-4.5,Iak.hs/cu.mm
Platelet Count,150000-450000,/cumm
Platelet Count,140000-450000,cu.m.m.
platelet Count,140000-450000,cu.m.m
PLATELET COUNT,150000-410000,Cell/cu.mm
PLATELET COUNT,1.5-4.5;,
PLATELET COUNT,1.5-4.5,lakhs/cu:mm
PLATELET COUNT,1.50-4.0,Lakh/cmm
PLATELET COUNT,1.5-4.5,
PLATELET COUNT,1.50-4.00,Lakh/cmm
PLATELET COUNT,2.0-5.5,lakhs/cumm
Platelet Count,1.4-4.4,Lac/cmm
PLATELET COUNT,150000-410000,
PLATELET COUNT,1-5-4.5,lacs/cumm
Platelet count,1.5-3.5 Lakhs/cumm,/cumm
PLATELET COUNT,1.5-4.0,Lakhs/cumm
Platelet Count,1.5-4.1,lakhs/cumm
PLATELET COUNT,1.50-4.50,Cmm
Platelet Count,150-400,X10^3 Per cu.mm
Platelet Count,150-450,x 10^3/UI
PLATELET COUNT,,thou/µL
Platelet Count,1.5-5.0,Lac/cumm
PLATELET COUNT,150-410,thou/L
PLATELET COUNT,150-410,thoμ /L
Platelet Count,1.5-3.5,Lacks/cumm
Platelet Count,"1.5-4,5",Lakhs/Cumm
PLATELET COUNT,1.4-4.4,Lakhs/Cumm
Platelet Count,140000-400000,cells cu
PLATELET COUNT,1.50 4.0 takhs/cumm,
PLATELET COUNT,150-410,
Platelet Count,150-450,x 1043/uL
Platelet Count,,
Platelet count 3.23lakhs/cumm,,
PLATELET DISTRIBUTION,Uy,Cv %
PLATELET DISTRIBUTION WIDTH,6,%
PLATELET DISTRIBUTION WIDTH - 5D,FL,fL
PLATELET DISTRIBUTION WIDTH - 5D,,fL
PLATELET DISTRIBUTION WIDTH - CV,%,%
PLATELET DISTRIBUTION WIDTH - CV,,%
PLATELET DISTRIBUTION WIDTH - CV,%;,%
PLATELET DISTRIBUTION WIDTH - SD,FL,fL
PLATELET DISTRIBUTION WIDTH - SD,,fL
PLATELET MORPHOLOGY,,
PLATELET MORPHOLOGY,Adeqguate on Smear,
PLATELET MORPHOLOGY,Adeguate on Smear,
PLATELET MORPHOLOGY,Adueguate on Smean,
PLATELET MORPHOLOGY,,Adequate on Smear
Platelet morphology normal.,,
PLATELET MORPHQLOGY,Adequate on Smear,
Platelet On Smear,,
PLATELET PARAMETERS Platelet Count,150000-400000,cmm
PLATELET TO LARGE CELL RATIO (PLCR),19.7-42.4,%
PLATELET TO LARGE CELL RATIO PLCR,,%
PLATELET TO LARGE CELL RATIO PLCR),19.7-42.4,%
PLATELET VOLUME,6.8-10.9,fL
PLATELET VOLUME,,fL
PLATELETCOUNT,150000-410000,Cells/cu.mm
PLATELETCRIT,19.7-42.4,%
Platelets,,
PLATELETS,150000-410000,lacs / cumm
PLATELETS,150000-410000,lacs /cumm
PLATELETS,150000-410000,lacs/cumm
PLATELETS,150000-410000,lacs / curnm
PLATELETS,150000-410000,Iacs/cumm
PLATELETS,150000-410000;,lacs /cumm
Platelets,150000-450000,/cmm
PLATELETS,410000,lace cumm
PLATELETS ARE ADEQUATE.,,
Platelets Count,1.5-4.5,Lakhs/c.mm
PLATELETS COUNT,150000-400000,/cumm
Platelets Count(Impedance method),1.5-4.5,Lakhs/c.mm
Platelets Counts,1.2-4.5,Lacks/cu mm.
Platelets Counts,1.2-4.5,Lacks/cu mm
Platelets on Smear,,
PlateletsCount,1.5-4.5,Lakhs/c.mm
Platetet Count,1.50-4.50,Lakhs/Cumm
PLATETET COUNT,150000-410000,cells/cu.mm
PLT,150/400,x10^3/µL
PLT,150 /400,X10^3/µL
PLT,150 / 400,x10^3/µl
PLT,150 /400,x10^3μL
PLT,100-300,x10^9/L
PLT,100-300,/L
PMBS,160,mg/dL
PMBS,160 mg/dL,mg/dL
PML,,
Poikilocytosis,,
Poly,45-75,%
Polychromasia,,
POLYMORPHONUCLEAR LEUKOCYTES,0-5,/HPF
Polymorphs,40-80,%
Polymorphs,40-70,%
Polymorphs,40.0-75.0,%
Polymorphs,[40-80],%
Polymorphs,40.0-75.0;,%
Polymorphs,40-60,%
Polyorphs,40-70,%
Post Meal Blood Sugar,0-140,mg/dL
Post Meal Blood Sugar,0 - -140,mg/dL
Post Meal Sugar,0 - -140,mg/dL
Post Prandial Blood Glucose,70-160,mg/dL
POST PRANDIAL BLOOD GLUCOSE,NORMAL: 0-140,mg/dL
Post Prandial Blood Glucose,70-160,mg\\dl
Post Prandial Blood Sugar,90-130,mg/dL
Post Prandial Blood Sugar,80-140,mg/dL
Post Prandial Blood Sugar,70-140,mg/dL
Post Prandial Blood Sugar (2 hrs. after Lunch),80-140,mg/dL
POST PRANDIAL BLOOD SUGAR(PPBS),80-160,mg/dL
Post Prandial Glucose,0-180,mg/dL
Post Prandial Glucose 2 hr (Plasma),75-150,mg/dL
Post Prandial Plasma Glucose,Normal 0-140 ;,mg/dL
Post Prandial Plasma Glucose,Normal 0-40,mg/dL
Post Prandial Plasma Glucose :,Normal 0-140 ;,mg/dL
Post Prandial Urine Sugar,,
POTASSIUM,3.5-5.1,mmol/Lt
Potassium,3.5-5.0,mmo/L
PPBS,≤140,mg/dL
PPBS,≤ 140,mg/dL
PR Segament,,
PR Segment,,
PRE DIABETIC 5.7-6.4,DIABETIC>6.5,% oo %
Pre-diabetics,100-125,mg/dL
Prediabetic,,%
Present,,g/dl
Present,Present>2.00,g/dl
Prostate,,
PROSTATE SPECIFIC ANTIGEN,0-4,ng/mL
PROSTATE SPECIFIC ANTIGEN,0.0-1.4,ng/mL
PROSTATE SPECIFIC ANTIGEN,0-4;,ng/mL
PROSTATE SPECIFIC ANTIGEN,0 - or = 4,ng/mL
Prostate Specific Antigen (Total PSA),0-1.4,ng/mL
PROTEIN,NOT DETECTED,
Protein,,
Protein,Nil,
PROTEIN,NO DETECTED,
PROTEIN,,NIL
PROTEIN,NlL,
Protein,Nif,
PROTEIN,,NOT DETECTED
"PROTEIN, TOTAL",6.4-8.2,g/dL
"PROTEIN, TOTAL",6.7-8.3,g/dL
"PROTEIN, TOTAL",6.3-8.2,g/dL
"PROTEIN, TOTAL",6.6-8.7,g/dL
"PROTEIN, TOTAL",6.4-8.2;,mg/dL
Protein-Total,6.60-8.80,g/dL
Proteins,Absent,
Proteins,,
Protozoa,Absent,
Protozoa,,
PSA REPORT,0.00-0.00,ng/ml
PSA TOTAL,0-4,mg/dL
PSA TOTAL,0-4,ng/mL
PTATELET COUNT,150000-410000,
PTATETET COUNT,150000-410000,Cells/cu.mm
PULMONARY ARTERY,,
PULMONARY FUNCTION TEST,,
Pulmonary Valve,,
PULSE,,
PULSE,,"/ MIN REGULAR, ALL PERIPHERAL PULSES WELL FELT, NO CAROTID BRUIT"
PULSE,,"/min - REGULAR, ALL PERIPHERAL PULSES WELL FELT"
Pulse,,/min
Pulse,,/mm
PULSE,MIN,
PULSE 72/MIN REGULAR ALL PERIPHERAL PULSES,,
Pus cell,,/hpf
PUS CELLS,0-5,/hpf
PUS CELIS,0-5,/hpf
PUS CELIS,0-5,/ hpf
Pus cell,,
PUS CELL,0-5,/hpf
Pus Cell,1.00-2.00,hpf
Pus cell Pr.Occassional,,
Pus Cells,,/H.P.F
Pus Cells,,/H.P.F.
Pus Cells,,
Pus Cells,,/ HPF
Pus Cells,00-05,/hpf
Pus Cells,,/hpf
Pus Cells,1-3,/HPF
PUS CELLS,0-3,/hpf
PUS CELLS,1-2,/hpf
PUS CELLS,1-2,hpf
Pus Cells,3-5,/hpf
PUS CELLS,0-5,/hef
Pus cells,,in per hpf
Pus cells,,(in per hpf)
Pus Cells,,HPF
Pus Cells,,/H.PF.
PUS CELLS,0-5,/ hpf
Pus Cells,O2/hpf,
Pus Cells,2-4,HPF
Pus Cells,0-1,hpf
Pus Cells,1-2,cells HPF
PUS CELLS,1-2,bal
Pus Cells,1-2,cells H.P.F
Pus Cells,2-4,cells H.P.F
Pus Cells,,H.P.F
Pus cells (in per hpf ),,
Pus cells (in per hpf),,
Pus cells (in per hpf),,/Hpf
Pus cells (WBCs),0-5,/hpf
PUS CELLS 2to4 HPF,,
PUS CELLS 3-4/HIPF EPITHELIALS CELLS 2-3/HPF RBC,,
PUS CELLS 3-4/HPF EPITHELIALS CELLS 1-2/HPF RBC NiL CASTS,,
Pus Cells 4-6 cells,,
Pus cells/hpf,,
PUS CELS,0-5,/hpf
PUS CtLtS,0-5,/hpf
PUS(WBC Cells,,
PUS(WBC) Cells,,/hpf
PUSCELLS,1-2,/ hpf
PusCells,,
Puss Celis,,
Puss Cell,,
Puss Cells,,
Puss Cells,l,
PWD,,cm
Q Rs Complex,,
Q.Wave,,
QT Interval,,
QUANTIT EXAMINED,5-30,ml
Quantitative turbidimetric immunoassay,,%
Quantity,,mL
QuantitY,,CC
Quantity,,ml.
Quantity,,
QUANTITY,>30,ml
Quantity,,ml mL
QUANTITY EXAMINED,5-30,mi
QUANTITY EXAMINED,5-40,mil
R B C,,
R B C COUNT,3.8-4.8,Millions/cmm
"R.D.W",11.6-14,%
R.B.C,,
R.B.C Count,4.5-5.7,million/cu.mm
R.B.C Count,"M -4.5-6.0.x 1000,000;",
R.B.C Count,"M -45-6.0x 1000,000;",
R.B.C Count,"M -4.5-6.0x 1000,000;",
R.B.C Count,"M -4.5-6.0 X 1000,000;",
R.B.C Count,"M -4.5-6.0 x1000,000;",
R.B.C Count,"M -45-60X 1000,000;",
R.B.C Count,"M -4.5-6.0 X 1000,000;",%
R.B.C Count,"M-4.5-6.0 x 1000,000;",
R.B.C Count,"M- 4.5-6.0 x 1000,000;",
R.B.C Count,4.5-5.7,milions/mm3
R.B.C Count,"M -45-6.0 × 1000,000;",
R.B.C Count,"M -4.5-6.0x 1000,000;",%
R.B.C Count,"M -45-60 x 1000,000;",
R.B.C Count,"M -4.5-6.0.X 1000,000;",%
R.B.C Count,"M - 4.5-6.0 x 1000,000;",
R.B.C Count,"M-4.5-6.0×1000,000",
R.B.C Count,3-6,fomm
R.B.C Count,4-7,x10*6/cmm
R.B.C.,,
R.B.C. Cast,,
R.B.C. Count,4.0-5.5,milli.cu.mm
R.B.C. Count,4.0-5.5,milli.\\ cu.mm
R.B.C. Count,4-7,x10^6/cmm
R.B.C. Count,3-6,/ c.mm
R.B.C. Count,3-6,/c.mm
R.B.C. Count,4-7,x10 ^6/cmm
R.B.C. Count,4.0-6.5,mil/cmm
R.B.Cs,ABSENT,/ hpf
R.B.CS,,/hpf
R.B.Cs,ABSENT,/ hpt
R.D.W,11.6-14,%
R.D.W,11.5-14.5,%
R.D.W,116.6-14,%
R.D.W.,11.6-14,%
R.D.W.CV,11.6-14.0,
R.D.W.CV,11.6-14.0,%
R.D.W.CV,,11.6-14.0
R.D.W.CV,[11.6-14.0],
R.D.W.CV,[11.6-14.0],%
R.D.W.SD,39.0-46.0,fl
R.D.W.SD,39.0-46.0,%
R.D.W.SD,[39.0-46.0],fL
R.DW.SD,39.0-46.0,fL
R.LOL,60-150,myt/dl
R.W.D,11.6-14,%
RA,,
RADIOGRAPH CHEST PA,,
RADIOGRAPH OF CHEST (PA VIEW),,
RADIOGRAPH OF CHEST PA VIEW,,
Random Blood Sugar,70-180,mg/dL
Rasophilic Stiping,,
Rate & Type,,
Ratio of Cholesterol / HDL,0-4.5,
Ratio of Cholesterol/HDL,0-4.5,
Ratio of Cholesterol\\HDL,0-4.5,
Rato of Cholesterol / HDL,0-4.5,
RB.Cs,ABSENT,hpf
RB.Cs,ABSENT,/ hpf
RBC,,
RBC,3.8-4.8,mil/cmm
RBC,ABSENT,/hpf
RBC,4.5-5.5,mil/cmm
RBC,NIL,NIL
RBC,4.00/6.20,x10^6/µL
RBC,4.00 /6.20,x10^6/µL
RBC,NlL,
RBC,NIL,
RBC,,NiL
RBC,4.5-6.5,Million/Cumm
RBC,ABSENT,
RBC,ABSENT,/hpt
RBC,4.00 / 6.20,x10^6/µL
RBC,NiL,/hpf
RBC,[0-15],
RBC,,/hpf
RBC,4.00 / 6.20,x10^3/µL
RBC,4.00 /6.20,x10^6μL
RBC,0-2,/hpf
RBC,3.50-5.00,x10^12/L
RBC,ABSENT,/ hpf
RBC,4.00 /6.20,x10^3/μL
RBC,mil/cmm,
RBC,ABSENT,hpf
"RBC \""s",,
RBC \'s,,
RBC AND PLATELET INDICES HEMATOCRIT,,
RBC AND PLATELET INDICES HEMATOCRIT 51.5 High,40-50,%
RBC COUNT,male 4.5-6 Million,Million/cumm
RBC COUNT,4.5-5.5,Million/cu.mm
RBC COUNT,4.5-6.0,Milllion / Cumm
RBC COUNT,4.5-5.5,10^6/µL
RBC COUNT,5-6,Million/cumm.
RBC COUNT,3.8-4.8,Million/cu.mm
RBC Count,4-6.2,Millions/cumm
RBC COUNT,3.8-4.8,Miliion/cu.mm
RBC COUNT,male 4.5-6,Million/cumm
RBC COUNT,3.8-4.8,10^6/ µL
RBC COUNT,3.8-4.8,Million /cu.mm
RBC COUNT,5-6,Million/cmm
RBC COUNT,4.5-5.5,Million /cu.mm
RBC Count,4.7-6.1,milli/cumm
RBC COUNT,4.5-55,10^6/µL
RBC COUNT,3.8-48,10^6/ μl
RBC Count,4-6.2,"Millions/cumm,"
RBC Count,4.5-5.5,millions/cu.mm
RBC COUNT,3.8-4.8,10^6/µL
RBC COUNT,male4.5-6Million/cumm,Million/cumm
RBC COUNT,4.5-5.5,10^6/ µL
RBC Count,4.5-6,Million/Cumm
RBC Count,4-6.2,Millions/cumm.
RBC COUNT,4.5-5.5,10^6 / μL
RBC COUNT,4.50-5.50,Million/μl
RBC COUNT,3.8-4.8,million/cumm
RBC Count,4.4-5.9,million/cumm
RBC COUNT,4.5-5.5,Million/cumm
RBC Count,4.5-6.0,million/cumm
RBC COUNT,4.3-6.0,
RBC COUNT,Female 3.8-4.8,Million/cumm
RBC COUNT,4.5-5.5,10^ 6/µL
RBC COUNT,4.5-5.5,10^6μ/L
RBC Count,4.2-5.5,mil/cmm
RBC COUNT,4.5-5.5,millions/cumm
RBC COUNT,3.7-5.6,Million/ul
RBC Count,4.5-6.0,Miliion/cumm
RBC COUNT,4.5-5.5,Million/cmm
RBC COUNT,4.5-5-5,Million/cu.mm
RBC COUNT,3.8-4.8,millions/cumm
RBC COUNT,3.8-4.8,10^6/ μL
RBC COUNT,Male 4.5-6.0,Million/cumm
RBC Count,4.5-5.5,M/cumm M/cmm
RBC Count,M/cumm 4.5-5.5 M/cmm,
RBC COUNT,18-48,1O46/jiL
RBC COUNT,83-101 27 32,fL
RBC Count (Impedance),4-6.2,Millions/cumm
RBC COUNT(Optical/lmpedance),3.7-5.6,Million/ul
"RBC COUNT, ",3.8-4.8,Million/cmm
RBC MORPHOLOG,Normocytic Normochromic,
RBC MORPHOLOGY,Normacytic Normochromic,
RBC MORPHOLOGY,Normocytic Noermochromlc,
RBC MORPHOLOGY,,
RBC MORPHOLOGY,Normacytic Normachromic,
RBC MORPHOLOGY,Normocytlc Normochromic,
